Algorithm,n,Execution Time (s),Memory (Bytes),Operations
1. Recursive,10,2.8e-05,0,177
1. Recursive,10,2.7e-05,0,177
2. Iterative,10,1e-05,0,10
3. Dynamic Programming,10,2.6e-05,96,9
1. Recursive,20,0.002455,0,21891
1. Recursive,20,0.002399,0,21891
2. Iterative,20,6e-06,0,20
3. Dynamic Programming,20,1.5e-05,176,19
1. Recursive,30,0.299049,3350,2692537
1. Recursive,30,0.313355,3350,2692537
2. Iterative,30,5e-06,0,30
3. Dynamic Programming,30,1.3e-05,256,29
1. Recursive,40,37.284894,2869,331160281
1. Recursive,40,37.716843,2869,331160281
2. Iterative,40,6e-06,0,40
3. Dynamic Programming,40,1.3e-05,336,39
